#Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw: 10 s/amu druck 1.1 E-5 mbar
31,8219	-0,053746	
31,8219	-0,053746	
31,8516	-0,00434895	
31,8516	-0,00434895	
31,8814	-0,0284573	
31,8814	-0,0284573	
31,9103	-0,0211252	
31,9103	-0,0211252	
31,94	-0,0328735	
31,94	-0,0328735	
31,9696	-0,0327323	
31,9696	-0,0327323	
31,9993	-0,00334427	
31,9993	-0,00334427	
32,0284	-0,00998407	
32,0284	-0,00998407	
32,0582	-0,038744	
32,0582	-0,038744	
32,0881	-0,0139477	
32,0881	-0,0139477	
32,1173	-0,0135208	
32,1173	-0,0135208	
32,1471	0,00109313	
32,1471	0,00109313	
32,1765	-0,0309427	
32,1765	-0,0309427	
32,2061	-0,00606384	
32,2061	-0,00606384	
32,2351	-0,00539732	
32,2351	-0,00539732	
32,2646	0,0107003	
32,2646	0,0107003	
32,2947	-0,0090358	
32,2947	-0,0090358	
32,324	-0,0205535	
32,324	-0,0205535	
32,3533	-0,00545178	
32,3533	-0,00545178	
32,383	0,00366074	
32,383	0,00366074	
32,4131	-0,0101337	
32,4131	-0,0101337	
32,4425	-0,00404503	
32,4425	-0,00404503	
32,4714	-0,00447025	
32,4714	-0,00447025	
32,5011	-0,00588939	
32,5011	-0,00588939	
32,5307	-0,0130845	
32,5307	-0,0130845	
32,5606	0,000769323	
32,5606	0,000769323	
32,5897	-0,00274199	
32,5897	-0,00274199	
32,6192	-0,0147397	
32,6192	-0,0147397	
32,6484	-0,0179044	
32,6484	-0,0179044	
32,6784	-0,00272079	
32,6784	-0,00272079	
32,7079	-0,0152993	
32,7079	-0,0152993	
32,7376	-0,0235386	
32,7376	-0,0235386	
32,7671	-0,00681156	
32,7671	-0,00681156	
32,7967	-0,0233507	
32,7967	-0,0233507	
32,8263	-0,0303365	
32,8263	-0,0303365	
32,8558	-0,0127548	
32,8558	-0,0127548	
32,8851	-0,0341331	
32,8851	-0,0341331	
32,9148	-0,0397392	
32,9148	-0,0397392	
32,9437	-0,0156022	
32,9437	-0,0156022	
32,9739	-0,00271003	
32,9739	-0,00271003	
33,0033	-0,00414156	
33,0033	-0,00414156	
33,0332	-0,0269961	
33,0332	-0,0269961	
33,0626	-0,0369616	
33,0626	-0,0369616	
33,0921	0,00835184	
33,0921	0,00835184	
33,1218	-0,0180893	
33,1218	-0,0180893	
33,1515	-0,0346115	
33,1515	-0,0346115	
33,1809	0,00780923	
33,1809	0,00780923	
33,2107	-0,0167507	
33,2107	-0,0167507	
33,2403	-0,0165176	
33,2403	-0,0165176	
33,2699	-0,0050533	
33,2699	-0,0050533	
33,2996	-0,0142304	
33,2996	-0,0142304	
33,3287	0,000586387	
33,3287	0,000586387	
33,3577	-0,0341527	
33,3577	-0,0341527	
33,3878	-0,0128726	
33,3878	-0,0128726	
33,4177	-0,0149044	
33,4177	-0,0149044	
33,4471	-0,0270896	
33,4471	-0,0270896	
33,4767	-0,00211688	
33,4767	-0,00211688	
33,5061	-0,00557112	
33,5061	-0,00557112	
33,5358	-0,0102635	
33,5358	-0,0102635	
33,5655	-0,0102045	
33,5655	-0,0102045	
33,5949	-0,0231642	
33,5949	-0,0231642	
33,6249	-0,0241063	
33,6249	-0,0241063	
33,6542	-0,0166744	
33,6542	-0,0166744	
33,6838	-0,0143846	
33,6838	-0,0143846	
33,7139	-0,0168844	
33,7139	-0,0168844	
33,7436	-0,0110481	
33,7436	-0,0110481	
33,7731	-0,0149484	
33,7731	-0,0149484	
33,8027	-0,0256545	
33,8027	-0,0256545	
33,8319	-0,0116507	
33,8319	-0,0116507	
33,862	-0,0211829	
33,862	-0,0211829	
33,8914	-0,0090358	
33,8914	-0,0090358	
33,9206	-0,0141329	
33,9206	-0,0141329	
33,95	-0,0239595	
33,95	-0,0239595	
33,9801	-0,0124946	
33,9801	-0,0124946	
34,0096	-0,0272592	
34,0096	-0,0272592	
34,0385	-0,0023859	
34,0385	-0,0023859	
34,0685	-0,0267153	
34,0685	-0,0267153	
34,098	-0,0136258	
34,098	-0,0136258	
34,1276	-0,014442	
34,1276	-0,014442	
34,1569	-0,0184464	
34,1569	-0,0184464	
34,1867	0,00147693	
34,1867	0,00147693	
34,2157	-0,011875	
34,2157	-0,011875	
34,2459	-0,0148382	
34,2459	-0,0148382	
34,2754	-0,00939613	
34,2754	-0,00939613	
34,3051	-0,0143654	
34,3051	-0,0143654	
34,3346	-0,0274816	
34,3346	-0,0274816	
34,364	-0,0234551	
34,364	-0,0234551	
34,3934	-0,0179217	
34,3934	-0,0179217	
34,4233	-0,0101315	
34,4233	-0,0101315	
34,4528	-0,0136936	
34,4528	-0,0136936	
34,4822	-0,0225753	
34,4822	-0,0225753	
34,5117	-0,0114146	
34,5117	-0,0114146	
34,5414	-0,016391	
34,5414	-0,016391	
34,5711	-0,0192456	
34,5711	-0,0192456	
34,6004	-0,00295362	
34,6004	-0,00295362	
34,6299	-0,0190764	
34,6299	-0,0190764	
34,6596	-0,0118167	
34,6596	-0,0118167	
34,6891	-0,00481917	
34,6891	-0,00481917	
34,7187	0,00115835	
34,7187	0,00115835	
34,7479	-0,0136979	
34,7479	-0,0136979	
34,7778	-0,00934233	
34,7778	-0,00934233	
34,8071	-0,0256496	
34,8071	-0,0256496	
34,8368	-0,0167354	
34,8368	-0,0167354	
34,8663	-0,0187017	
34,8663	-0,0187017	
34,8958	-0,0124506	
34,8958	-0,0124506	
34,9256	-0,0224364	
34,9256	-0,0224364	
34,9547	-0,00544949	
34,9547	-0,00544949	
34,9844	-0,0286236	
34,9844	-0,0286236	
35,014	-0,0140706	
35,014	-0,0140706	
35,0434	-0,0243567	
35,0434	-0,0243567	
35,0731	-0,0230585	
35,0731	-0,0230585	
35,1026	0,0128049	
35,1026	0,0128049	
35,1323	-0,00443797	
35,1323	-0,00443797	
35,1617	-0,0153231	
35,1617	-0,0153231	
35,1918	-0,0180948	
35,1918	-0,0180948	
35,221	-0,0134324	
35,221	-0,0134324	
35,2506	-0,0255988	
35,2506	-0,0255988	
35,2803	-0,0211969	
35,2803	-0,0211969	
35,3093	-0,00978124	
35,3093	-0,00978124	
35,3389	-0,00949428	
35,3389	-0,00949428	
35,3684	-0,0120645	
35,3684	-0,0120645	
35,3982	-0,00209438	
35,3982	-0,00209438	
35,4275	-0,0427017	
35,4275	-0,0427017	
35,4577	-0,0168045	
35,4577	-0,0168045	
35,4872	-0,00257275	
35,4872	-0,00257275	
35,5163	-0,0132818	
35,5163	-0,0132818	
35,5458	-0,0233735	
35,5458	-0,0233735	
35,5749	-0,0102521	
35,5749	-0,0102521	
35,6055	-0,0188256	
35,6055	-0,0188256	
35,634	-0,0254481	
35,634	-0,0254481	
35,6639	-0,00583297	
35,6639	-0,00583297	
35,6937	-0,0125768	
35,6937	-0,0125768	
35,7229	-0,00353992	
35,7229	-0,00353992	
35,7528	-0,0458367	
35,7528	-0,0458367	
35,782	-0,0143236	
35,782	-0,0143236	
35,8114	0,00196052	
35,8114	0,00196052	
35,841	-0,0398374	
35,841	-0,0398374	
35,8702	-0,0231358	
35,8702	-0,0231358	
35,9004	-0,00901233	
35,9004	-0,00901233	
35,9299	-0,0123299	
35,9299	-0,0123299	
35,9594	-0,053851	
35,9594	-0,053851	
35,9889	-0,00607167	
35,9889	-0,00607167	
36,0189	-0,00929407	
36,0189	-0,00929407	
36,0483	-0,0130069	
36,0483	-0,0130069	
36,0771	-0,0147394	
36,0771	-0,0147394	
36,1072	-0,0139062	
36,1072	-0,0139062	
36,1372	-0,00205003	
36,1372	-0,00205003	
36,1665	-0,0239318	
36,1665	-0,0239318	
36,1957	-0,0180531	
36,1957	-0,0180531	
36,2253	-0,0028809	
36,2253	-0,0028809	
36,2546	-0,0136049	
36,2546	-0,0136049	
36,2847	0,0109217	
36,2847	0,0109217	
36,3144	-0,0192466	
36,3144	-0,0192466	
36,3434	-0,00263731	
36,3434	-0,00263731	
36,3734	-0,0124023	
36,3734	-0,0124023	
36,4036	-0,0140227	
36,4036	-0,0140227	
36,4329	-0,033435	
36,4329	-0,033435	
36,462	0,0149848	
36,462	0,0149848	
36,4919	-0,0194556	
36,4919	-0,0194556	
36,5214	-0,0133969	
36,5214	-0,0133969	
36,5513	-0,00249514	
36,5513	-0,00249514	
36,5808	-0,0118183	
36,5808	-0,0118183	
36,6105	-0,0110373	
36,6105	-0,0110373	
36,6399	-0,0089657	
36,6399	-0,0089657	
36,6696	-0,033059	
36,6696	-0,033059	
36,6987	0,000664648	
36,6987	0,000664648	
36,7285	0,00230617	
36,7285	0,00230617	
36,7579	-0,0104364	
36,7579	-0,0104364	
36,7878	-0,0331454	
36,7878	-0,0331454	
36,8173	-0,0131174	
36,8173	-0,0131174	
36,8471	-0,0215282	
36,8471	-0,0215282	
36,8766	-0,0121936	
36,8766	-0,0121936	
36,9063	-0,0042009	
36,9063	-0,0042009	
36,9357	0,00404422	
36,9357	0,00404422	
36,9649	-0,030241	
36,9649	-0,030241	
36,9949	-0,00521275	
36,9949	-0,00521275	
37,024	-0,0207407	
37,024	-0,0207407	
37,0536	-0,0243016	
37,0536	-0,0243016	
37,0829	-0,0168482	
37,0829	-0,0168482	
37,1125	-0,00538199	
37,1125	-0,00538199	
37,1423	-0,0149807	
37,1423	-0,0149807	
37,1719	-0,0169741	
37,1719	-0,0169741	
37,2017	-0,00523754	
37,2017	-0,00523754	
37,2304	0,00234041	
37,2304	0,00234041	
37,2605	-0,0201547	
37,2605	-0,0201547	
37,2903	0,0161538	
37,2903	0,0161538	
37,3194	-0,0360848	
37,3194	-0,0360848	
37,3488	0,00863097	
37,3488	0,00863097	
37,3788	-0,00879972	
37,3788	-0,00879972	
37,4085	-0,000968724	
37,4085	-0,000968724	
37,4382	0,00163248	
37,4382	0,00163248	
37,4676	-0,00511851	
37,4676	-0,00511851	
37,4967	-0,00189155	
37,4967	-0,00189155	
37,5264	-0,0179279	
37,5264	-0,0179279	
37,5556	-0,00545373	
37,5556	-0,00545373	
37,5853	0,00541379	
37,5853	0,00541379	
37,615	-0,0136062	
37,615	-0,0136062	
37,6444	-0,012989	
37,6444	-0,012989	
37,6743	-0,0101592	
37,6743	-0,0101592	
37,7035	-0,016378	
37,7035	-0,016378	
37,733	-0,000643941	
37,733	-0,000643941	
37,7628	0,00230193	
37,7628	0,00230193	
37,7925	-0,0269423	
37,7925	-0,0269423	
37,8221	-0,00385916	
37,8221	-0,00385916	
37,8511	-0,0219254	
37,8511	-0,0219254	
37,8807	-0,0125973	
37,8807	-0,0125973	
37,9106	-0,0155396	
37,9106	-0,0155396	
37,9399	-0,0122142	
37,9399	-0,0122142	
37,9694	-0,00933222	
37,9694	-0,00933222	
37,9994	-0,0304979	
37,9994	-0,0304979	
38,0289	-0,0131836	
38,0289	-0,0131836	
38,0583	0,00105954	
38,0583	0,00105954	
38,0875	-0,0152517	
38,0875	-0,0152517	
38,1169	-0,0216658	
38,1169	-0,0216658	
38,1469	-0,0148982	
38,1469	-0,0148982	
38,1762	0,00254161	
38,1762	0,00254161	
38,2055	-0,0227807	
38,2055	-0,0227807	
38,2353	-0,0191641	
38,2353	-0,0191641	
38,2649	-0,014276	
38,2649	-0,014276	
38,2945	0,00500716	
38,2945	0,00500716	
38,3239	-0,000151875	
38,3239	-0,000151875	
38,3532	-0,0240283	
38,3532	-0,0240283	
38,3832	-0,0154529	
38,3832	-0,0154529	
38,413	0,0291996	
38,413	0,0291996	
38,4424	-0,0158129	
38,4424	-0,0158129	
38,4723	0,0121808	
38,4723	0,0121808	
38,5015	-0,0166969	
38,5015	-0,0166969	
38,5309	0,00207596	
38,5309	0,00207596	
38,5609	-0,00651026	
38,5609	-0,00651026	
38,5903	-0,00927776	
38,5903	-0,00927776	
38,6195	-0,0136046	
38,6195	-0,0136046	
