Masse - Plot 0	Amplitude (V) - Plot 0	scangeschw: 10 s/amu druck 1.2 E -5mbar
29,1626	-0,0171867	
29,1626	-0,0171867	
29,1924	-0,0341661	
29,1924	-0,0341661	
29,2216	-0,00660841	
29,2216	-0,00660841	
29,2519	-0,0113161	
29,2519	-0,0113161	
29,2812	-0,0382334	
29,2812	-0,0382334	
29,3109	-0,00450025	
29,3109	-0,00450025	
29,3402	-0,0129674	
29,3402	-0,0129674	
29,3704	0,00455357	
29,3704	0,00455357	
29,399	-0,00961396	
29,399	-0,00961396	
29,4292	-0,00301786	
29,4292	-0,00301786	
29,4585	-0,0103604	
29,4585	-0,0103604	
29,4878	0,00112345	
29,4878	0,00112345	
29,5176	-0,0141117	
29,5176	-0,0141117	
29,5468	-0,056431	
29,5468	-0,056431	
29,5766	-0,0054208	
29,5766	-0,0054208	
29,6061	-0,0335227	
29,6061	-0,0335227	
29,636	-0,0393323	
29,636	-0,0393323	
29,6652	-0,0135071	
29,6652	-0,0135071	
29,6952	-0,0375949	
29,6952	-0,0375949	
29,7247	-0,0305175	
29,7247	-0,0305175	
29,7542	-0,00989374	
29,7542	-0,00989374	
29,7836	-0,0294173	
29,7836	-0,0294173	
29,8132	-0,0483215	
29,8132	-0,0483215	
29,8428	-0,0298236	
29,8428	-0,0298236	
29,8724	-0,043621	
29,8724	-0,043621	
29,9022	-0,0154672	
29,9022	-0,0154672	
29,9317	-0,0248778	
29,9317	-0,0248778	
29,9611	-0,00730069	
29,9611	-0,00730069	
29,9904	-0,014429	
29,9904	-0,014429	
30,0201	-0,0438121	
30,0201	-0,0438121	
30,0498	-0,0390531	
30,0498	-0,0390531	
30,0792	-0,00825189	
30,0792	-0,00825189	
30,1089	-0,000520028	
30,1089	-0,000520028	
30,1386	-0,00629928	
30,1386	-0,00629928	
30,1679	-0,0132273	
30,1679	-0,0132273	
30,1979	0,0166302	
30,1979	0,0166302	
30,2275	-0,00318905	
30,2275	-0,00318905	
30,2571	-0,0198192	
30,2571	-0,0198192	
30,2865	-0,00452667	
30,2865	-0,00452667	
30,316	0,0255833	
30,316	0,0255833	
30,3459	0,000482692	
30,3459	0,000482692	
30,3757	0,0106371	
30,3757	0,0106371	
30,4051	-0,00862591	
30,4051	-0,00862591	
30,4348	0,0216119	
30,4348	0,0216119	
30,4643	0,0126154	
30,4643	0,0126154	
30,4938	0,0161649	
30,4938	0,0161649	
30,5236	-0,00514069	
30,5236	-0,00514069	
30,5529	0,0131251	
30,5529	0,0131251	
30,5816	-0,024465	
30,5816	-0,024465	
30,6115	0,00599781	
30,6115	0,00599781	
30,6414	-0,0169663	
30,6414	-0,0169663	
30,671	-0,0415895	
30,671	-0,0415895	
30,7006	-0,0219365	
30,7006	-0,0219365	
30,7299	-0,0278005	
30,7299	-0,0278005	
30,7596	-0,0117697	
30,7596	-0,0117697	
30,7892	-0,0702721	
30,7892	-0,0702721	
30,8181	-0,0228626	
30,8181	-0,0228626	
30,8481	-0,0281478	
30,8481	-0,0281478	
30,8775	-0,0317172	
30,8775	-0,0317172	
30,9074	-0,0323357	
30,9074	-0,0323357	
30,9368	-0,0214128	
30,9368	-0,0214128	
30,9666	-0,0123586	
30,9666	-0,0123586	
30,9963	-0,0145705	
30,9963	-0,0145705	
31,0261	-0,00552939	
31,0261	-0,00552939	
31,0552	-0,036676	
31,0552	-0,036676	
31,0856	0,00240433	
31,0856	0,00240433	
31,1145	-0,0178852	
31,1145	-0,0178852	
31,1444	-0,034831	
31,1444	-0,034831	
31,1736	-0,00602308	
31,1736	-0,00602308	
31,2032	0,0150539	
31,2032	0,0150539	
31,2326	-0,00184264	
31,2326	-0,00184264	
31,2622	-0,0172125	
31,2622	-0,0172125	
31,2918	0,000472909	
31,2918	0,000472909	
31,3218	-0,0272739	
31,3218	-0,0272739	
31,3511	0,0086476	
31,3511	0,0086476	
31,3804	-0,0153854	
31,3804	-0,0153854	
31,4098	0,0116189	
31,4098	0,0116189	
31,4395	-0,0315841	
31,4395	-0,0315841	
31,4695	0,0149835	
31,4695	0,0149835	
31,4984	-0,000279701	
31,4984	-0,000279701	
31,528	0,00123954	
31,528	0,00123954	
31,558	-0,0123133	
31,558	-0,0123133	
31,5876	-0,0152996	
31,5876	-0,0152996	
31,617	-0,0213006	
31,617	-0,0213006	
31,6466	-0,00575765	
31,6466	-0,00575765	
31,6756	-0,0280614	
31,6756	-0,0280614	
31,7056	-0,0104889	
31,7056	-0,0104889	
31,7351	-0,00655493	
31,7351	-0,00655493	
31,7649	-0,00458145	
31,7649	-0,00458145	
31,7943	0,0094713	
31,7943	0,0094713	
31,8239	0,021847	
31,8239	0,021847	
31,8535	0,0254176	
31,8535	0,0254176	
31,8837	0,037179	
31,8837	0,037179	
31,9124	0,0488209	
31,9124	0,0488209	
31,9422	0,0737389	
31,9422	0,0737389	
31,972	0,120887	
31,972	0,120887	
32,0014	0,156885	
32,0014	0,156885	
32,0309	0,152381	
32,0309	0,152381	
32,0601	0,189355	
32,0601	0,189355	
32,0898	0,266769	
32,0898	0,266769	
32,1195	0,281082	
32,1195	0,281082	
32,1499	0,355756	
32,1499	0,355756	
32,1789	0,389744	
32,1789	0,389744	
32,2083	0,467115	
32,2083	0,467115	
32,2375	0,522807	
32,2375	0,522807	
32,2673	0,516082	
32,2673	0,516082	
32,2965	0,522997	
32,2965	0,522997	
32,3265	0,533319	
32,3265	0,533319	
32,356	0,550428	
32,356	0,550428	
32,3851	0,556704	
32,3851	0,556704	
32,4153	0,535198	
32,4153	0,535198	
32,4442	0,502003	
32,4442	0,502003	
32,4738	0,474739	
32,4738	0,474739	
32,5037	0,48495	
32,5037	0,48495	
32,5328	0,45267	
32,5328	0,45267	
32,5626	0,398309	
32,5626	0,398309	
32,592	0,324314	
32,592	0,324314	
32,6213	0,237271	
32,6213	0,237271	
32,6509	0,151851	
32,6509	0,151851	
32,6806	0,0825045	
32,6806	0,0825045	
32,7102	-0,0268767	
32,7102	-0,0268767	
32,7399	-0,0233784	
32,7399	-0,0233784	
32,7691	-0,0265871	
32,7691	-0,0265871	
32,7989	-0,024089	
32,7989	-0,024089	
32,8284	-0,011624	
32,8284	-0,011624	
32,858	-0,0388425	
32,858	-0,0388425	
32,8871	-0,0401123	
32,8871	-0,0401123	
32,9171	-0,03612	
32,9171	-0,03612	
32,9464	-0,0505468	
32,9464	-0,0505468	
32,976	-0,0412327	
32,976	-0,0412327	
33,006	-0,0288414	
33,006	-0,0288414	
33,0356	0,00833716	
33,0356	0,00833716	
33,0653	-0,032835	
33,0653	-0,032835	
33,0948	-0,0271819	
33,0948	-0,0271819	
33,1242	-0,0429998	
33,1242	-0,0429998	
33,1536	-5,33964E-5	
33,1536	-5,33964E-5	
33,1837	-0,012614	
33,1837	-0,012614	
33,2129	-0,0322911	
33,2129	-0,0322911	
33,2431	-0,0105039	
33,2431	-0,0105039	
33,2723	-0,0205193	
33,2723	-0,0205193	
33,3015	-0,0357724	
33,3015	-0,0357724	
33,3314	0,013927	
33,3314	0,013927	
33,3609	-0,00894874	
33,3609	-0,00894874	
33,3906	-0,014203	
33,3906	-0,014203	
33,4198	-0,0153156	
33,4198	-0,0153156	
33,4494	-0,00274949	
33,4494	-0,00274949	
33,479	-0,0144299	
33,479	-0,0144299	
33,5086	-0,047987	
33,5086	-0,047987	
33,538	-0,0193337	
33,538	-0,0193337	
33,5677	-0,0159668	
33,5677	-0,0159668	
33,5978	-0,0329491	
33,5978	-0,0329491	
33,6269	-0,0247161	
33,6269	-0,0247161	
33,6569	-0,00892167	
33,6569	-0,00892167	
33,6862	0,00488683	
33,6862	0,00488683	
33,7162	0,00838771	
33,7162	0,00838771	
33,7461	-0,0199588	
33,7461	-0,0199588	
33,7758	-0,0156798	
33,7758	-0,0156798	
33,8048	-0,0584227	
33,8048	-0,0584227	
33,8346	-0,0150283	
33,8346	-0,0150283	
33,8644	-0,0122302	
33,8644	-0,0122302	
33,8938	-0,0294042	
33,8938	-0,0294042	
33,9228	-0,0205689	
33,9228	-0,0205689	
33,9529	-0,00518308	
33,9529	-0,00518308	
33,9824	0,00154802	
33,9824	0,00154802	
34,0121	-0,0260031	
34,0121	-0,0260031	
34,0419	-0,0146494	
34,0419	-0,0146494	
34,0714	-0,019631	
34,0714	-0,019631	
34,1007	-0,0185494	
34,1007	-0,0185494	
34,1302	-0,0200817	
34,1302	-0,0200817	
34,1596	-0,0118036	
34,1596	-0,0118036	
34,1893	-0,0147893	
34,1893	-0,0147893	
34,2187	-0,0170716	
34,2187	-0,0170716	
34,2486	-0,0222662	
34,2486	-0,0222662	
34,278	-0,0329494	
34,278	-0,0329494	
34,3076	-0,0103852	
34,3076	-0,0103852	
34,337	-0,00944733	
34,337	-0,00944733	
34,3666	-0,0142927	
34,3666	-0,0142927	
34,3962	-0,00340395	
34,3962	-0,00340395	
34,4256	-0,0225929	
